Text,Cluster,Total
learning technologies gaming role experiences studies games role learning activities learning game activities games gamification context intelligence game development use cases attempt learning approximation technique case study tron game voronoi heuristics algorithm game scenarios game bot accuracy moves percentage response time ieee,3,59
progress reinforcement learning selfgameplay performance board games video games atari games dota2 deepmind researchers modelfree level montecarlotreesearch mcts knowledge problems games power mcts class optimization problems idea hintikkas semantics zermelo gamification optimization problems zermelo games strategies solutions optimization problem mcts planning problem policy foundation agents multiagent systems ifaamas rights,3,59
paper solution srl patients benefits action plan health treatments model area srl aspects nature thought cognition internet things iomt healthcare systems rhs capabilities patients impact technologies therapies factors skill levels patients type target basis postprocessing machine learning tools crossrelations factors srl skills motivations patients therapy targets impact tools rhs technologies srl ieee,3,59
consumers epicenter grids activities portion energy demand utility companies agencies entities concerns energy consumption patterns peak load reduction load smoothing carbon emission curtailment survey paper overview approaches grid consumers information motivation recommendations energy efficiency apps focus machine approaches grid apps consumer flexibility energy savings consumer profiling modeling energy consumer data survey analysis work area order gaps perspective research project outputs products aspects designs technologies motivation techniques gamification consumer profiling role machine learning recommender systems context apps features consumer energy efficiency sustainability data visualization gamification flexibility consumer profiling methods feedback mechanisms recommendations media machine integration goal work apps features energy consumers energyefficient behavior stateoftheart area research directions ccby,3,59
crowdsourcing model individuals organizations services group internet users ideas task etc crowdsourcing websites lack user participation success crowdsourcing platforms mass user participation issue users crowdsourcing platform approach reinforcement gamification method users gamification approach users fields improvement crowdsourcing platform paper gamification approach reinforcement learning algorithm agent reinforcement learning algorithm agent action plan reward points users participation crowdsourcing application performance sarsa algorithm onpolicy learning reinforcement learning algorithm research institute computer systems,3,59
activities influence aspects lives habits impact health appearance diseases aging research work need approaches life activities technologies user modelling methods habits mhealth platforms monitoring interventions data analytics data mining gamification methodologies user experience models user adaptation personality mood user models data personality user activity patterns goal users adherence interventions quality life quality care mhealth applications springer nature switzerland,3,59
gamification monitoring society education activities progress rewards acceptance surveillance narrative privacy tools work reward shift model power threat surveillance actualisation surveillance cloud computing data centres machine case narratives fictions game society article work doctorow charles stross dave eggers cline fictionality experiments conditions surveillance technologies stories state walkaway collisions society tech companies structures statesthe points tension illusions freedom game paths exercise power users data article perspectives reach game analysis networks systems ways idea characters narratives surveillance societies authors,3,59
rise intelligence years assistants bots technology interest fields application technologies machine learning integration emotion management opportunity interaction user apprenticeship research setting use case paper potentials challenges applications training environment results approach benefits individualization learning process gamification aspect context fears implementation backgrounds applications acceptance authors access article byncnd license httpscreativecommonsorglicensesbyncnd40 responsibility committee kes international,3,59
paper motor imagery braincomputer interface mibci training reality aim training method attention motivation mibci training gamification increase training pace reality design body ownership transfer avatar participants runs training leftright hand level mibci operation peak accuracy session training method improvement mibci skills participants session affect performance degree magnitude body ownership transfer illusion ability sensorimotor rhythm copyright škola tinková liarokapis,3,59
background training sbt environment means skills development curricula number procedures endoscopy gamification application principles contexts strategy potential studies effects gamification curriculum acquisition skills novice endoscopists methods analysis thirtysix novice endoscopists endoscopy sbt curricula curriculum group participants hours oneonone simulation training expert feedback hours group teaching theory colonoscopy curriculum group participants curriculum integration elements leaderboard participants performance game narrative achievement badges rewards performance line approach simulation training participants complexity simulators benchtop model endovr reality simulator performance points weeks training assessments place simulator time points transfer skills colonoscopies weeks anovas performance difference groups assessments ethics dissemination approval michaels hospital results trial presentation meetings publication journal trial registration number nct03176251 authors employers reuse bync,3,59
neuroscience datasets populations lab settings eeg technology gamification tasks way data scale signal quality challenge ease samples paper system eeg suite games data analysis system feasibility study adherence user acceptability users data trial replicates eeg patterns neuroscience literature machine analyses user age performance level sessions classification performance days ieee,3,59
insight form highlevel relationships rules text basis understanding language generation structures resources training data machine creation groundtruth data process domain expertise text ambiguities phenomena creation refinement machine learning models linguists models intransparent challenges analytics technique data labeling concepts gamification intelligence xai classification tasks visualinteractive labeling interface creation training data explanations rules decisions machine learning model optimization design user labeling process feedback model performance instance technique workspace task question classification questions evaluation studies gamification concepts users feedback analytics technique learning xai copyright ownerauthors publication rights acm,3,59
crowdsourcing wellknown model tasks organizations times crowdsourcing platform success individuals brand gamification methodology folks crowdsourcing platform reinforcement algorithm gamification method people reinforcement algorithm user actions reward crowdsourcing platform gamification technique motivates user activities crowdsourcing platform algorithm media application faculties research experience participation faculties crowdsourcing platform gamification method springer nature singapore pte ltd,3,59
decades research community efforts machine intelligence surging sensing gamification techniques crowdsourcing computing paradigm largescale data paper study gamification crowdsourcing techniques way gamification techniques crowdsourcing order heritage application scavenger hunt game players series tasks form riddles task location user question media files image files pace visit input experts approach data sightseeing visitors sensing devices data sites monuments structure condition data site location machine information condition heritage site applications experts decisions order need intervention site monument condition springer nature switzerland,3,59
security researchers way data backdoor attacks process adversary vulnerability machine learning model training images backdoor object model testing data misclassifies inputs backdoor adversary paper design development backdoor game game users classifiers images backdoor objects way interviews participants version backdoor game game turk users users backdoor objects results types interactions result game play design recommendations improvement system design development deployment system security researchers concept effectiveness backdoor objects collection backdoor objects public safety future systems acm,3,59
evolution tourism industry advances paper development travel agencies hereinafter otas way technology direction case company internet way tourism industry information communication technologies icts intelligence machine reality internet things gamification tools applications businesses customers time use devices tools media access information consumers services needs marketing strategies companies companies state art marketing tools order result etravel example otas evolution decade success opportunities advancements authors license nature switzerland,3,59
aspect knowledge management transfer knowhow generations question employees professionals knowledge generations way creation incentives sides generation rewards quality expertise generation threat generation ways knowledge generation value paper authors methods process gamification reward systems benefits reward systems prototype authors rewards tokens order way system machine learning preparation learning systems knowledge generation group people foundations survey focus group experts fields order arguments conferences rights,3,59
intelligence carrying ability environment ability factor deferent types intelligence information intelligence type intelligence information personality disorder aspects method status individuals questionnaires kids msceit assessment tools measurement approach assessment process kids process step minigame mission kids faces facilitation tasks msceit information process information classification methods machine algorithms speed accuracy assessment process springer nature switzerland,3,59
gamification potential individuals motivation performance methods state emotion individual order motivation performance application methods state individual state performance individuals task characteristics limitations paper machine learning method task information individuals expression data hisher performance task training data adaptiveindividualtask model time data individual approach models prediction accuracy account variations expressions individuals case study feasibility performance model results model performance individuals task accuracy findings use models training data task information individuals expression data ieee,3,59
data age everyday devices applications machine user experiences users technology education support forms literacies machine computing gamification techniques opportunities data collection manipulation research system design data gamification elements novice users opportunity ownerauthor,3,59
importance ecommerce freight traffic consequences congestion noise emissions market volume euros growth clothing footwear account category willemsen commerce footprint shop conditions example group orders home delivery returns day delivery deliveries co2 transport systems goods problem online shopping hofacker langenberg kristensen research project thinkfirst problems freight mobility combination gamification elements design principles machine learning customers means transport manufacturer customer biases body size estimation results rule algorithm class copyright scitepress science technology publications rights,3,59
information vgi solution inequalities map data response crises contributions map data machine learningvgi mlvgi workflows volunteer contributions gamification volunteers evaluations gamification mapping contributions mapping platform map safari use game elements volunteer contributions contribution quality results gamification mapping fun time mappers map data quality competition enjoyment game elements map data contributions future mapping platforms competition game elements platform use gamelike research gamification contributions map data map data organizations cartography information society,3,59
technology promise conduct interest assessment advances interest measures procedures assessment item response theory interpretations users response latency gamification interest measures data machine advances assessments procedures precision measures authors,3,59
gamification advantages technology health games behavior change health schedules time health habitbuilding productivity web app user goals alternative habit tracking tools gamification features gamification application game elements environments order audience enthusiasm activities benefits web application users reallife scenarios situations challenges gameplay goal development quizzes takeaway features app habit tracker inapp calendar streak counter dashboard goal screen graphs element navigation prerequisite skills users anxiety disorders wellbeing health wellbeing domains conduct disorder disorders rationale gamification health wellbeing percent studies themes engagement interventions effects work accuracy prediction help classification method ieee,3,59
gap shopfloor operators information communication technologies workforces diversity system gaps order production demands need selffulfillment selfactualization work study approach distribution information content operator manufacturing activity feedback prototype implementation case study operators job rotation shopfloor workstations tasks authors,2,19
measure skills level person response plan cyber security learners adversary attempts hackers approach probability cyber security actions wellknown hackers probabilities specialpurpose system hackers skills level system machinelearning approach values data sum networks estimation observation values participants number competitions system manner adminowner tasks challenges difficulty systems users openend manner users skill level system skills university students training results ieee,2,19
lecture faculty lecture online learners campus engagement place lecture research analysis student engagement lecture order interventions learning environment engagement metrics skills performance participation student course engagement questionnaire students course interventions elements communication group activities results engagement focus assessment periods engagement student feelings attitudes perceptions learning response lecture interactions activities students course concepts development results promise identification interventions ieee,2,19
millions people form sign language lives need method recognition voice recognition today paper way sign language speech method leap motion controller machine algorithms hand movements time signs word system individual life system way signs dictionary system accuracy level range applications healthcare education gamification communication hand tracking piece hardware leap motion controller hand movements information machine learning models sign language asl symbols time results method level accuracy asl ieee,2,19
gamification living system life activities stimulation games solution gap ambient living solutions interaction mobility endusers gamification machine techniques goal system reward user chance admissions events community partners proof concept aal ecosystem interface endusers acceptability willingness system springer nature switzerland,2,19
struggle system competencies market requests transformations education system serbia romania policy transformations reforms introduction technology methodologies teaching pisa requirements economy society index inequity heis education institutions strategy management heis market study survey romanian teachers information technology schoolits haret university romania survey knowledge perceptions difficulties opportunities technologies heis study difficulties opportunities impact heis study education romania serbia system instructors skills breakthroughs possibilitiesthe methods education ethics values activities students material abilities changes future environment colleges skills machine iot data data analysis office applications simulation applications vrar gamification skills longterm mindset authors mdpi basel switzerland,2,19
identification collaborators growth academia services network analysis recognition collaborators collaborations research network analysis domain gamification realworld map geolocation locations collaborations purpose research collaboration networks publications scopus database network analysis research network cooperation gamification communities network summary publication keywords target communities research interests communities,2,19
study novel learning inaccuracy detection data labeling activity recognition system sensing crowdact learning lack information second integration gamification learning lack motivation engagement inaccuracy detection algorithm data capability feasibility model settings crowdact system crowdsourcing platform setup workers activity labels activity classes smartphone sensors user engagement information quality crowdact baseline techniques machine learning statistics results crowdact activity accuracy recognition worker engagement data data labeling findings research directions design activity data collection crowdsourcing acm,2,19
world education system covid19 dimension needs learners framework learning experience ways oncampus methodologies interfaces learners gamification tutorial etc framework outcome experiences authors technologies cuttingedge research knowledge learners ages status communities communities speciallearners occasion source technology technologies iot etc borders framework learning environment technologies data machine system features anomaly detection student performance content preparations students etc framework data cloud applications machine learning intelligence system features system learning environment storage backup framework way intervention functioning result output systems ieee,2,19
purpose paper theories ideas observations rewards motivation understanding practice systems technology exploration reinforcement rewards motivational theory flow play games gamification machine learning design psychology systems society technology gamification machine learning case studies problems systems society technology motivation exploration play learning behaviour nature machine value harm systems aspect lives importance ethics design systems technology acm,2,19
internet importance forum activity tools discussion dialogue deliberation debate media networks solutions consensus understandings interaction government citizenry work platform participation machine intelligence gamification techniques engagement formation opinion bubbles echo chamber effect networks ifip international federation information,2,19
gameaalgamification living system life activities stimulation games gap ambient living solutions interaction mobility endusers gamification machine techniques goals user system unlocks rewards badges user chance admissions events community partners proof concept endusers interface acceptability system ieee,2,19
engagement teams organizations team members possibility gamification tools teams engagement gamification fun factor daytoday work objectives paper gamification framework engagement drives addition experience gamification strategies approaches sectors sector paradigm shift technologies intelligence machine communication cyber security results increase productivity engagement teams gamification framework springer nature switzerland,2,19
pureexploration bestarm identification context stochastic bandits algorithms multiarm bandits existence algorithms bestarm identification bandits despite attempts comparison insight notions optimality case goptimality transductive optimality design optimality second algorithm fixedconfidence exploration bandits consequence algorithm bypasses pitfall instance algorithms need design problem approach implementation authors rights,2,19
neurosurgery technique time surgeons time novice surgeons novice surgeons tasks skills problem study system gamification elements scoring feedback motivation training system factors video capture score factors neurosurgeons factors accuracy factors instruments gauze machine learning image experiment novices system results experiment system motivation user experience questionnaire system usability scale sus acm,2,19
covid19 pandemic challenges health pharmaceutical industry law chambers institutions micro units suppliers transportation units organization size category challenges form workforce work culture technology integration profiles machine talent analytics automation gamification gradations hrs hrs pace technologies employees cutting culturetech platform study hrs service industry technology integration covid19 crisis employees projects jobs ieee,2,19
realworld problems computation techniques user process solutions world process problem user fatigue gamification user boredom user attention problem paper use gamification mechanism behaviour subjects interaction version problem heuristics machine heuristics algorithm mutation operator algorithm experimentation performers performance performers circumstances introduction expertise algorithm copyright ownerauthors publication rights acm,2,19
selection methods talent acquisition job performance candidates assessments candidate fatigue engagement completion rates data gamification issues engagement testing times avenue gamification tests assessments traction personnel selection studies validity properties study potential fiveminute forcedchoice assessment personality traits selection study creation image pairs selection bestperforming items sample respondents study creation scoring algorithms tests convergent validity impact sample respondents models levels convergent validity ipipneo120 openness conscientiousness extraversion agreeableness stability impact implications recruitment policy practice need validation authors mdpi basel switzerland,2,19
sightreading forms barrier musicians isolation feedback accuracy performers starting skills styles curriculum study rhythms times theories motivation engagement fun training system consideration gamification design system machine performers weaknesses interests selection rhythms engagement source implementation publication reece godfrey matthew rimmer chris headle charles fox,2,19
